REDE;MAC_ADDRESS;POWER;LATITUDE;LONGITUDE
Wi-Fi UFPE;90:3a:72:94:e9:48;-84;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:85:68;-87;-8.05124;-34.95336
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:48;-89;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-82;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:e9:c8;-84;-8.0512;-34.95335
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:85:68;-81;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:c8;-75;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:a4:84:18;-82;-8.05114;-34.95333
Wi-Fi UFPE;90:3a:72:94:e9:48;-81;-8.05114;-34.95333
